Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.16,-0.27,-0.04,-0.35,-0.13,-0.01,-0.81,-0.46,-0.26,-0.15,-0.1,-0.03,0.05,0.65
1881,-0.08,-0.17,0.01,-0.33,0.1,-0.06,-0.92,-0.43,-0.18,0.1,0.11,-0.05,-0.07,0.58
1882,-0.1,-0.2,-0.01,-0.29,-0.05,0.02,-1.42,-0.25,-0.12,-0.05,-0.05,0.02,0.04,0.61
1883,-0.16,-0.27,-0.06,-0.32,-0.16,-0.01,-0.2,-0.53,-0.22,-0.18,-0.15,-0.03,0.07,0.48
1884,-0.28,-0.42,-0.15,-0.59,-0.15,-0.14,-1.31,-0.62,-0.44,-0.13,-0.16,-0.19,-0.02,0.63
1885,-0.33,-0.43,-0.24,-0.64,-0.13,-0.27,-1.52,-0.67,-0.45,-0.06,-0.2,-0.33,-0.15,0.8
1886,-0.31,-0.42,-0.2,-0.56,-0.19,-0.21,-1.59,-0.48,-0.39,-0.21,-0.18,-0.2,-0.2,0.57
1887,-0.36,-0.43,-0.28,-0.51,-0.3,-0.28,-1.77,-0.49,-0.28,-0.29,-0.3,-0.27,-0.26,0.3
1888,-0.17,-0.23,-0.12,-0.41,0.1,-0.29,-1.31,-0.41,-0.23,0.07,0.12,-0.31,-0.22,0.14
1889,-0.1,-0.17,-0.04,-0.28,0.08,-0.16,-0.69,-0.21,-0.27,0.02,0.14,-0.15,-0.15,0.43
1890,-0.35,-0.38,-0.32,-0.45,-0.37,-0.22,-1.14,-0.54,-0.27,-0.27,-0.47,-0.17,-0.27,0.13
1891,-0.22,-0.25,-0.19,-0.42,-0.07,-0.21,-1.13,-0.32,-0.36,0.01,-0.16,-0.18,-0.24,-0.18
1892,-0.27,-0.39,-0.15,-0.43,-0.3,-0.08,-1.16,-0.64,-0.17,-0.34,-0.26,0.03,-0.21,0.07
1893,-0.31,-0.48,-0.15,-0.51,-0.36,-0.04,-0.71,-0.54,-0.47,-0.42,-0.3,0.07,-0.2,-0.06
1894,-0.3,-0.39,-0.21,-0.33,-0.33,-0.24,-0.97,-0.33,-0.18,-0.49,-0.17,-0.14,-0.35,-0.4
1895,-0.23,-0.3,-0.15,-0.4,-0.07,-0.26,-0.68,-0.52,-0.27,-0.15,0.01,-0.19,-0.32,-0.6
1896,-0.11,-0.19,-0.03,-0.35,0.09,-0.15,-0.89,-0.36,-0.22,0.05,0.14,-0.15,-0.13,0.23
1897,-0.11,-0.16,-0.05,-0.35,0.17,-0.23,-0.58,-0.46,-0.24,0.13,0.21,-0.18,-0.27,0.38
1898,-0.27,-0.28,-0.26,-0.33,-0.22,-0.26,-1.15,-0.19,-0.23,-0.19,-0.26,-0.27,-0.21,0.36
1899,-0.17,-0.21,-0.14,-0.24,-0.12,-0.18,-1.07,-0.08,-0.15,-0.16,-0.07,-0.15,-0.22,0.56
1900,-0.08,-0.09,-0.06,-0.19,0.17,-0.3,-0.56,-0.12,-0.15,0.08,0.26,-0.28,-0.29,0.25
1901,-0.15,-0.13,-0.17,-0.16,-0.03,-0.3,-0.42,-0.1,-0.15,-0.07,0,-0.27,-0.33,0.24
1902,-0.27,-0.33,-0.22,-0.52,-0.03,-0.34,-1.34,-0.5,-0.33,-0.02,-0.04,-0.28,-0.43,-0.07
1903,-0.37,-0.37,-0.36,-0.46,-0.28,-0.38,-0.22,-0.41,-0.56,-0.24,-0.33,-0.35,-0.4,-0.48
1904,-0.47,-0.48,-0.45,-0.5,-0.46,-0.44,-0.17,-0.59,-0.55,-0.44,-0.48,-0.37,-0.49,-1.3
1905,-0.26,-0.29,-0.22,-0.41,-0.08,-0.35,-0.09,-0.22,-0.62,-0.12,-0.04,-0.32,-0.37,-0.32
1906,-0.22,-0.24,-0.2,-0.26,-0.19,-0.23,-0.3,-0.06,-0.39,-0.21,-0.17,-0.2,-0.22,-0.7
