AAA1,BBB2,CCC3,DDD4,EEE5,FFF6,GGG7,HHH8,III9,JJJ10
URD,GS,0,22,FLUSHING,NY,8323,EA,???,ESA
URD,LOC,0,22,FLUSHING,NY,18335,EA,???,ESA
UUH,GS,0,34L,SALT LAKE CITY,UT,12593,NM,III,WSA
UUH,LOC,0,34L,SALT LAKE CITY,UT,16623,NM,III,WSA
UYJ,GS,2,27C,CHICAGO,IL,2297,GL,III,CSA
UYJ,LOC,0,27C,CHICAGO,IL,9360,GL,III,CSA
UYO,GS,0,09,HOUSTON,TX,17879,SW,???,CSA
UYO,LOC,0,09,HOUSTON,TX,15667,SW,???,CSA
UZK,GS,1,23R,INDIANAPOLIS,IN,9376,GL,???,CSA
UZK,LOC,1,23R,INDIANAPOLIS,IN,12501,GL,???,CSA
VAC,GS,0,36L,COVINGTON,KY,28147,SO,II,CSA
VAC,LOC,0,36L,COVINGTON,KY,11846,SO,II,CSA
VNK,GS,0,18L,AUSTIN,TX,18306,SW,III,CSA
VNK,LOC,0,18L,AUSTIN,TX,11437,SW,III,CSA
VQX,GS,0,28L,CHICAGO,IL,7456,GL,III,CSA
VQX,LOC,0,28L,CHICAGO,IL,18526,GL,III,CSA
VYN,GS,0,18R,DAL-FT WORTH,TX,15315,SW,III,CSA
VYN,LOC,1,18R,DAL-FT WORTH,TX,10978,SW,III,CSA
VZE,GS,0,28C,CHICAGO,IL,12171,GL,III,CSA
VZE,LOC,0,28C,CHICAGO,IL,11309,GL,III,CSA
XUU,GS,0,36L,CHARLOTTE,NC,6873,SO,III,ESA
XUU,LOC,0,36L,CHARLOTTE,NC,19948,SO,III,ESA
