Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier
DLV,28,MONTGOMERY,AL,LOC,3343,3739,2287,5331,SO,3,2710
DLX,19C,DULLES,VA,GS,23598,23907,22167,10848,EA,1,2710
DLX,19C,DULLES,VA,LOC,8652,7925,3460,27417,EA,1,2710
DMI,27R,ROMULUS,MI,GS,18889,18189,7703,75353,GL,1,2710
DMI,27R,ROMULUS,MI,LOC,13160,12540,4098,48258,GL,1,2710
DMP,23R,RALEIGH,NC,GS,29663,29882,9975,98620,SO,2,2710
DMP,23R,RALEIGH,NC,LOC,15433,15864,14586,5460,SO,2,2710
DNN,14,DALTON,GA,GS,48128,49595,51247,41889,SO,X,2710
DNN,14,DALTON,GA,LOC,87667,83095,146964,28369,SO,X,2710
DNV,21,DANVILLE,IL,GS,4427,3725,2226,11025,GL,3,2710
DNV,21,DANVILLE,IL,LOC,18325,17994,6246,71478,GL,3,2710
DOF,36,WOODRUFF,WI,LOC,57438,43194,74471,6340,GL,X,2710
DOT,01L,KANSAS CITY,MO,GS,3960,0,6438,5284,CE,2,2710
DOT,01L,KANSAS CITY,MO,LOC,26553,27059,21546,61664,CE,2,2710
DPA,10,WEST CHICAGO,IL,GS,7339,6512,3309,20601,GL,3,2710
DPA,10,WEST CHICAGO,IL,LOC,4990,5085,3071,9992,GL,3,2710
DPP,35R,DENVER,CO,GS,21839,23400,19677,18485,NM,1,2710
DPP,35R,DENVER,CO,LOC,39541,46146,41330,32386,NM,1,2710
DPX,13R,DALLAS,TX,GS,10496,12473,12480,12726,SW,2,2710
DPX,13R,DALLAS,TX,LOC,7595,7966,5757,9653,SW,2,2710
DQG,36C,CHARLOTTE,NC,GS,18092,19691,18080,18205,SO,1,2710
DQG,36C,CHARLOTTE,NC,LOC,8829,8451,7257,15370,SO,1,2710
DQH,04,DOUGLAS,GA,GS,54298,50134,52334,58226,SO,X,2710
DQH,04,DOUGLAS,GA,LOC,333888,-1,-1,333888,SO,X,2710
DQJ,21,MADISON,WI,GS,7516,7424,4875,14746,GL,3,2710
DQJ,21,MADISON,WI,LOC,2233,1907,1677,5741,GL,3,2710
DQQ,16R,DENVER,CO,GS,21401,21588,9665,58794,NM,1,2710
DQQ,16R,DENVER,CO,LOC,21840,22066,13319,49032,NM,1,2710
DRI,36,DE RIDDER,LA,LOC,86496,68767,164294,8698,SW,X,2710
DRO,03,DURANGO,CO,GS,4154,1623,1782,13496,NM,3,2710
DRO,03,DURANGO,CO,LOC,20454,22303,20372,551,NM,3,2710
DRT,13,DEL RIO,TX,GS,9780,10476,11238,409,SW,3,2710
DRT,13,DEL RIO,TX,LOC,16508,18270,17793,416,SW,3,2710
DSM,31,DES MOINES,IA,GS,18451,15830,11636,37176,CE,3,2710
DSM,31,DES MOINES,IA,LOC,17353,17086,8762,47101,CE,3,2710
DSO,04,EVANSVILLE,IN,GS,13391,14375,10989,17508,GL,3,2710
DSO,04,EVANSVILLE,IN,LOC,6220,5818,8661,9625,GL,3,2710
DSY,01,SEARCY,AR,GS,21106,23501,27664,2093,SW,3,2710
DSY,01,SEARCY,AR,LOC,13159,13569,10225,15390,SW,3,2710
DSZ,18,MADISON,WI,GS,9147,9503,8318,4157,GL,3,2710
DSZ,18,MADISON,WI,LOC,25703,24721,33662,17744,GL,3,2710
DTN,14,SHREVEPORT,LA,LOC,2510,2293,660,9315,SW,3,2710
DTO,18,DENTON,TX,GS,5241,5701,4909,1903,SW,2,2710
DTO,18,DENTON,TX,LOC,3260,4029,2904,1806,SW,2,2710
DTW,04R,ROMULUS,MI,GS,22370,22248,6359,91337,GL,1,2710
DTW,04R,ROMULUS,MI,LOC,15066,15956,15447,7472,GL,1,2710
DUC,35,DUNCAN,OK,LOC,60782,70725,66524,49297,CE,X,2710
DUJ,25,DUBOIS,PA,GS,22431,27862,41739,5239,EA,3,2710
DUJ,25,DUBOIS,PA,LOC,15997,15754,12425,20575,EA,3,2710
DUS,34,MARSHFIELD,WI,LOC,340464,-1,-1,340464,GL,,2710
DVN,15,DAVENPORT,IA,GS,2423,1043,7182,2311,CE,3,2710
DVN,15,DAVENPORT,IA,LOC,1981,707,854,7026,CE,3,2710
DVR,18,LEBANON,NH,GS,716,0,878,1254,NE,3,2710
DVR,18,LEBANON,NH,LOC,1408,1610,1137,1372,NE,3,2710
DVS,35,GRAND RAPIDS,MI,GS,5798,6903,5748,2649,GL,3,2710
DVS,35,GRAND RAPIDS,MI,LOC,7864,8248,4700,16492,GL,3,2710
DWC,22L,ROMULUS,MI,GS,35153,35955,14835,55471,GL,1,2710
DWC,22L,ROMULUS,MI,LOC,23438,24270,8323,53669,GL,1,2710
DWE,18L,TULSA,OK,GS,14539,17942,21666,287,SW,3,2710
DWE,18L,TULSA,OK,LOC,5262,5611,4386,4402,SW,3,2710
DWW,05,DES MOINES,IA,GS,7932,7294,1416,32865,CE,3,2710
DWW,05,DES MOINES,IA,LOC,5608,6385,6669,608,CE,3,2710
DXR,08,DANBURY,CT,LOC,7850,7450,5834,10084,NE,3,2710
DXU,34L,DENVER,CO,GS,39623,36589,51277,4662,NM,1,2710
DXU,34L,DENVER,CO,LOC,31697,28898,35031,18359,NM,1,2710
DYH,19L,KANSAS CITY,MO,GS,11417,11235,8414,15077,CE,2,2710
DYH,19L,KANSAS CITY,MO,LOC,16164,21963,22795,8518,CE,2,2710
DZG,07,DENVER,CO,GS,16186,13384,9293,34471,NM,1,2710
DZG,07,DENVER,CO,LOC,85500,86540,8185,162814,NM,1,2710
DZH,04,CULPEPER,VA,LOC,32222,39723,44898,6871,EA,X,2710
EAR,36,KEARNEY,NE,GS,10423,10775,5978,22275,CE,3,2710
EAR,36,KEARNEY,NE,LOC,13182,13050,11060,18028,CE,3,2710
EAU,22,EAU CLAIRE,WI,GS,16496,15455,8267,46301,GL,3,2710
EAU,22,EAU CLAIRE,WI,LOC,13221,13113,8280,32622,GL,3,2710
ECC,20,CEDAR CITY,UT,GS,9010,9092,6073,14693,NM,3,2710
ECC,20,CEDAR CITY,UT,LOC,9100,9191,4790,24825,NM,3,2710
ECD,01,PROSPECT CR,AK,LOC,406488,-1,-1,406488,AL,,2710
ECH,11,KETCHIKAN,AK,GS,25060,25405,2828,111460,AL,3,2710
ECH,11,KETCHIKAN,AK,LOC,3768,4406,5260,7970,AL,3,2710
EDE,19,EDENTON,NC,GS,45647,44601,60419,30874,EA,3,2710
EDE,19,EDENTON,NC,LOC,10632,7983,4897,28687,EA,3,2710
EDI,32R,OMAHA,NE,GS,6450,7930,9820,7820,CE,3,2710
EDI,32R,OMAHA,NE,LOC,15867,16462,16097,2023,CE,3,2710
EEE,01,AMES,IA,GS,4575,4813,4071,2524,CE,3,2710
EEE,01,AMES,IA,LOC,6815,8457,11077,4757,CE,3,2710
EEI,36R,COVINGTON,KY,GS,7428,6700,5139,11453,SO,2,2710
EEI,36R,COVINGTON,KY,LOC,19116,17712,9062,52850,SO,2,2710
EEN,02,KEENE,NH,GS,7759,5478,3645,20576,NE,1,2710
EEN,02,KEENE,NH,LOC,391,458,455,369,NE,1,2710
EEZ,31,ALEXANDRIA,MN,GS,94905,94749,101221,88589,GL,X,2710
EEZ,31,ALEXANDRIA,MN,LOC,94412,93866,113486,75337,GL,X,2710
EFE,18,MCKINNEY,TX,GS,14576,14963,12857,8616,SW,3,2710
EFE,18,MCKINNEY,TX,LOC,5581,4841,4764,10856,SW,3,2710
EGK,24L,DAYTON,OH,GS,4714,5534,4292,7296,GL,3,2710
EGK,24L,DAYTON,OH,LOC,11235,11530,9399,11695,GL,3,2710
EIF,26,PITTSFIELD,MA,LOC,4982,5654,3621,6923,NE,3,2710
EIU,35,ENID,OK,GS,14795,20408,13438,8098,SW,3,2710
EIU,35,ENID,OK,LOC,13330,14281,13055,8117,SW,3,2710
EJR,21L,ROMULUS,MI,GS,6312,4705,5403,7444,GL,1,2710
EJR,21L,ROMULUS,MI,LOC,15065,16720,14587,11916,GL,1,2710
EKI,31,CRP CHRISTI,TX,LOC,17501,17392,8481,45148,SW,3,2710
EKO,24,ELKO,NV,LOC,13457,13611,12634,5407,WP,3,2710
EKP,02,WISC RAPIDS,WI,LOC,3264,-1,-1,3264,GL,X,2710
EKW,29,WORCESTER,MA,GS,4342,4717,3492,5164,NE,3,2710
EKW,29,WORCESTER,MA,LOC,3249,3878,2167,5626,NE,3,2710
EKY,05,BESSEMER,AL,GS,1609,588,2255,2413,SO,3,2710
EKY,05,BESSEMER,AL,LOC,3572,4612,4325,2286,SO,3,2710
ELD,22,EL DORADO,AR,GS,3778,2860,3897,892,SW,3,2710
ELD,22,EL DORADO,AR,LOC,2444,3008,3413,3386,SW,3,2710
ELL,36L,HUNTSVILLE,AL,GS,6602,6677,2199,22495,SO,3,2710
ELL,36L,HUNTSVILLE,AL,LOC,14316,18627,24920,16761,SO,3,2710
ELM,24,ELMIRA,NY,GS,2516,2945,2430,1373,EA,3,2710
ELM,24,ELMIRA,NY,LOC,8763,10682,11067,1373,EA,3,2710
ELP,22,EL PASO,TX,GS,11153,11052,3347,39888,SW,3,2710
ELP,22,EL PASO,TX,LOC,5486,5911,5261,1152,SW,3,2710
ELZ,28,WELLSVILLE,NY,LOC,7719,7919,3037,26622,EA,X,2710
EMB,17R,ABILENE,TX,LOC,11541,12237,9303,22270,SW,3,2710
EMV,34,EMPORIA,VA,LOC,90960,89998,118725,63194,EA,X,2710
ENA,20R,KENAI,AK,GS,1082,1422,1053,723,AL,3,2710
ENA,20R,KENAI,AK,LOC,15022,17006,14169,9964,AL,3,2710
ENF,32L,OMAHA,NE,GS,7713,9419,7668,2769,CE,3,2710
ENF,32L,OMAHA,NE,LOC,4335,3957,1942,12512,CE,3,2710
ENW,07L,KENOSHA,WI,GS,15202,15059,11178,21055,GL,3,2710
ENW,07L,KENOSHA,WI,LOC,5504,5512,2565,14745,GL,3,2710
EPA,27L,ROMULUS,MI,GS,15452,18784,15833,14309,GL,1,2710
EPA,27L,ROMULUS,MI,LOC,12296,13407,11793,14309,GL,1,2710
EPC,26L,OAHU HONOLULU,HI,LOC,8114,8536,342,38867,WP,1,2710
EPR,10,ELIZABETH CTY,NC,GS,13009,12082,12454,4833,EA,3,2710
EPR,10,ELIZABETH CTY,NC,LOC,8627,9003,6240,12004,EA,3,2710
EQX,05,AKRON,OH,GS,18046,26498,16934,8500,GL,3,2710
EQX,05,AKRON,OH,LOC,15617,15097,6172,49610,GL,3,2710
EQY,05,MONROE,NC,GS,52930,50065,68068,7516,SO,X,2710
EQY,05,MONROE,NC,LOC,19448,19937,14920,26334,SO,X,2710
ERI,06,ERIE,PA,GS,16691,17333,15311,6911,EA,3,2710
ERI,06,ERIE,PA,LOC,13626,15833,14500,4561,EA,3,2710
ERJ,14,ALEXANDRIA,LA,GS,1446,1490,902,4565,SW,3,2710
ERJ,14,ALEXANDRIA,LA,LOC,4209,4377,7876,9247,SW,3,2710
ERP,25,DENVER,CO,GS,57688,47923,105017,10358,NM,1,2710
ERP,25,DENVER,CO,LOC,4504,0,5402,10358,NM,1,2710
ERV,30,KERRVILLE,TX,LOC,6224,6654,5205,5384,SW,3,2710
ESC,09,ESCANABA,MI,GS,4514,1730,1921,15391,GL,3,2710
ESC,09,ESCANABA,MI,LOC,4408,3874,1547,14312,GL,3,2710
ESF,27,ALEXANDRIA,LA,GS,11308,11112,12135,6007,SW,3,2710
ESF,27,ALEXANDRIA,LA,LOC,3945,3968,3439,2793,SW,3,2710
ESJ,25,EAGLE,CO,GS,3120,3289,883,11517,NM,3,2710
ESJ,25,EAGLE,CO,LOC,33884,41632,41186,11976,NM,3,2710
ETB,31,WEST BEND,WI,LOC,142168,134774,255694,28642,GL,,2710
ETF,04,EL PASO,TX,LOC,4396,4504,1663,19736,SW,3,2710
ETI,09,JOHNS ISLAND,SC,GS,14825,14152,12306,12701,SO,3,2710
ETI,09,JOHNS ISLAND,SC,LOC,10833,11438,10629,2648,SO,3,2710
EUG,16R,EUGENE,OR,GS,19509,20407,19062,6847,NM,3,2710
EUG,16R,EUGENE,OR,LOC,8402,9037,7726,3412,NM,3,2710
EUY,23,MURRAY,KY,LOC,1717,2164,1303,2093,SO,3,2710
EVO,36,OLIVE BRANCH,MS,LOC,9183,10045,10242,1496,SO,3,2710
EVV,22,EVANSVILLE,IN,GS,5181,3784,4453,7611,GL,3,2710
EVV,22,EVANSVILLE,IN,LOC,14491,15019,10893,31375,GL,3,2710
EVW,23,EVANSTON,WY,GS,511,0,5872,1778,NM,3,2710
EVW,23,EVANSTON,WY,LOC,3146,5226,5963,914,NM,3,2710
EWB,05,NEW BEDFORD,MA,GS,4033,3867,3106,5763,NE,3,2710
EWB,05,NEW BEDFORD,MA,LOC,3272,3778,2034,7836,NE,3,2710
EWN,04,NEW BERN,NC,GS,3286,3647,465,14123,SO,3,2710
EWN,04,NEW BERN,NC,LOC,690,553,397,3292,SO,3,2710
EWR,04L,NEWARK,NJ,GS,29583,30057,28658,5957,EA,1,2710
EWR,04L,NEWARK,NJ,LOC,18255,17161,16163,31324,EA,1,2710
EXO,25,ORLANDO,FL,GS,4883,5701,5333,1398,SO,3,2710
EXO,25,ORLANDO,FL,LOC,5667,5770,5643,1416,SO,3,2710
EXR,17L,OKLAHOMA CITY,OK,GS,6318,4471,6852,913,SW,3,2710
EXR,17L,OKLAHOMA CITY,OK,LOC,808,769,1993,942,SW,3,2710
EXS,18L,MEMPHIS,TN,GS,4179,4487,6368,1448,SO,1,2710
EXS,18L,MEMPHIS,TN,LOC,12407,12710,1636,54990,SO,1,2710
EXW,26,MARTINSBURG,WV,GS,1589,1897,254,6677,EA,3,2710
EXW,26,MARTINSBURG,WV,LOC,20224,19607,5651,72869,EA,3,2710
EXX,06,LEXINGTON,NC,GS,17031,12637,11270,35652,SO,X,2710
EXX,06,LEXINGTON,NC,LOC,170592,-1,-1,170592,SO,X,2710
EYE,21,INDIANAPOLIS,IN,LOC,1239,1022,1060,3249,GL,3,2710
EYK,05,CHESAPEAKE,VA,GS,13404,11784,15954,10164,EA,X,2710
EYK,05,CHESAPEAKE,VA,LOC,117876,116265,167850,67902,EA,X,2710
EYR,24,MEXICO,MO,LOC,47871,45289,39583,64449,CE,3,2710
EYU,06X,CLEVELAND,OH,GS,47252,47917,4424,132909,GL,,2710
EYU,06X,CLEVELAND,OH,LOC,75168,-1,-1,75168,GL,,2710
EZA,04R,NEWARK,NJ,GS,17405,16460,14707,13491,EA,1,2710
EZA,04R,NEWARK,NJ,LOC,7580,7974,6329,13491,EA,1,2710
EZD,02,RICHMOND,VA,GS,777,788,662,611,EA,3,2710
EZD,02,RICHMOND,VA,LOC,6218,7325,7260,7304,EA,3,2710
EZN,02C,NASHVILLE,TN,GS,5525,8021,8245,1469,SO,2,2710
EZN,02C,NASHVILLE,TN,LOC,10667,10840,6249,35336,SO,2,2710
FAI,20R,FAIRBANKS,AK,GS,16575,17219,16523,4322,AL,3,2710
FAI,20R,FAIRBANKS,AK,LOC,6962,5152,6900,2404,AL,3,2710
FAR,36,FARGO,ND,GS,22249,19776,58569,27145,GL,3,2710
FAR,36,FARGO,ND,LOC,3087,2844,2170,5743,GL,3,2710
FAT,29R,FRESNO,CA,GS,24292,28966,30671,6203,WP,3,2710
FAT,29R,FRESNO,CA,LOC,6118,4534,5130,8038,WP,3,2710
FBS,34,HIGHFILL,AR,GS,8959,7948,9440,7035,SW,3,2710
FBS,34,HIGHFILL,AR,LOC,7255,6061,5467,17452,SW,3,2710
FCM,10R,EDEN PRAIRIE,MN,GS,625,912,766,249,GL,3,2710
FCM,10R,EDEN PRAIRIE,MN,LOC,2249,2374,4997,1329,GL,3,2710
FDI,36,POPLAR BLUFF,MO,LOC,371160,-1,-1,371160,GL,,2710
FDK,23,FREDERICK,MD,GS,9489,9322,5934,19356,EA,1,2710
FDK,23,FREDERICK,MD,LOC,20690,21404,15889,66315,EA,1,2710
FFC,31,PEACHTREE CTY,GA,GS,111840,-1,-1,111840,SO,X,2710
FFC,31,PEACHTREE CTY,GA,LOC,84963,55956,123589,7712,SO,X,2710
FFM,31,FERGUS FALLS,MN,GS,81028,64349,107826,27431,GL,X,2710
FFM,31,FERGUS FALLS,MN,LOC,47359,16523,56823,9505,GL,X,2710
FFT,25,FRANKFORT,KY,LOC,5762,3986,6648,6677,SO,3,2710
FFV,14,SARASOTA,FL,GS,3334,4218,3789,268,SO,3,2710
FFV,14,SARASOTA,FL,LOC,5226,5571,5526,6486,SO,3,2710
FGH,04,EASTON,MD,GS,8256,7844,6809,7326,EA,1,2710
FGH,04,EASTON,MD,LOC,12856,14795,13756,5644,EA,1,2710
FJD,10R,FORT PIERCE,FL,GS,20243,24641,24897,9149,SO,X,2710
FJD,10R,FORT PIERCE,FL,LOC,28320,33939,35134,1066,SO,X,2710
FJN,36R,DAL-FT WORTH,TX,GS,4812,432,4554,1450,SW,1,2710
FJN,36R,DAL-FT WORTH,TX,LOC,9508,7555,9043,13802,SW,1,2710
FJQ,20,NEWPORT NEWS,VA,LOC,9938,6013,22042,12990,EA,3,2710
FJU,04R,CHICAGO,IL,GS,14133,14339,12666,15600,GL,1,2710
FJU,04R,CHICAGO,IL,LOC,5652,5778,3166,15600,GL,1,2710
FKL,21,FRANKLIN,PA,GS,17516,19461,17746,25492,EA,3,2710
FKL,21,FRANKLIN,PA,LOC,17435,18755,17610,1232,EA,3,2710
FKO,15,SCAPPOOSE,OR,LOC,5680,5820,2803,15968,NM,3,2710
FLD,36,FOND DU LAC,WI,LOC,1869,0,1744,2457,GL,2,2710
FLG,21,FLAGSTAFF,AZ,GS,1923,1804,2352,1712,WP,3,2710
FLG,21,FLAGSTAFF,AZ,LOC,878,721,859,653,WP,3,2710
FLL,10R,FT LAUDERDALE,FL,GS,15316,19635,17507,8742,SO,1,2710
FLL,10R,FT LAUDERDALE,FL,LOC,5855,16947,18609,1759,SO,1,2710
FLO,09,FLORENCE,SC,GS,6137,6176,3366,13874,SO,3,2710
FLO,09,FLORENCE,SC,LOC,4623,5161,4177,4952,SO,3,2710
FLQ,17C,DAL-FT WORTH,TX,GS,6629,5650,7120,3028,SW,1,2710
FLQ,17C,DAL-FT WORTH,TX,LOC,13977,14265,13375,3028,SW,1,2710
FLZ,22R,SPOKANE,WA,GS,9644,11001,9638,3102,NM,3,2710
FLZ,22R,SPOKANE,WA,LOC,3473,5656,3697,3746,NM,3,2710
FMH,23,FALMOUTH,MA,GS,15011,15487,14401,3120,NE,1,2710
FMH,23,FALMOUTH,MA,LOC,14418,15329,12142,14214,NE,1,2710
FMN,25,FARMINGTON,NM,GS,6162,7078,7265,3250,NM,3,2710
FMN,25,FARMINGTON,NM,LOC,29893,34141,32702,10786,NM,3,2710
FMY,05,FT MYERS,FL,GS,1762,2295,1975,581,SO,3,2710
FMY,05,FT MYERS,FL,LOC,5764,6141,4338,9201,SO,3,2710
FND,15R,BALTIMORE,MD,GS,15383,14420,13304,10672,EA,1,2710
FND,15R,BALTIMORE,MD,LOC,393,621,372,485,EA,1,2710
FNF,22,HOUSTON,TX,GS,4015,4403,3271,4137,SW,1,2710
FNF,22,HOUSTON,TX,LOC,3292,3953,3247,898,SW,1,2710
FNL,33,FORT COLLINS,CO,GS,7058,7446,3423,18176,NM,1,2710
FNL,33,FORT COLLINS,CO,LOC,3654,4736,5191,295,NM,1,2710
FNO,03,CLINTON,IA,GS,15705,13898,11587,21797,CE,3,2710
FNO,03,CLINTON,IA,LOC,19559,19629,18859,16563,CE,3,2710
FNP,28,SAN FRANCISCO,CA,GS,26922,26908,27098,26745,WP,X,2710
FNP,28,SAN FRANCISCO,CA,LOC,26926,27992,1386,52465,WP,X,2710
FNT,09,FLINT,MI,GS,4117,4472,3756,2376,GL,3,2710
FNT,09,FLINT,MI,LOC,3663,3695,3166,5233,GL,3,2710
FNU,27R,SANFORD,FL,GS,1409,0,682,4477,SO,3,2710
FNU,27R,SANFORD,FL,LOC,3899,3279,4540,5839,SO,3,2710
FOD,06,FORT DODGE,IA,GS,24824,25271,17496,38359,CE,3,2710
FOD,06,FORT DODGE,IA,LOC,22826,23418,20024,38359,CE,3,2710
FOE,31,TOPEKA,KS,GS,3275,3555,2840,2216,CE,3,2710
FOE,31,TOPEKA,KS,LOC,6719,7615,8226,7015,CE,3,2710
FOG,32,SHREVEPORT,LA,GS,3344,1746,4991,2931,SW,3,2710
FOG,32,SHREVEPORT,LA,LOC,1754,1980,2611,3464,SW,3,2710
FOK,24,WESTHAMPTON,NY,GS,32178,27433,23901,65283,NE,X,2710
FOK,24,WESTHAMPTON,NY,LOC,422280,-1,-1,422280,NE,X,2710
FQD,01,RUTHERFORDTON,NC,LOC,211896,-1,-1,211896,SO,X,2710
FQE,29,EFFINGHAM,IL,LOC,84042,85077,8766,159317,GL,,2710
FQJ,31,FAIRMONT,MN,GS,73465,57224,105142,10110,GL,X,2710
FQJ,31,FAIRMONT,MN,LOC,55086,42815,62839,31827,GL,X,2710
FQR,02,FITZGERALD,GA,LOC,66960,-1,-1,66960,SO,X,2710
FQS,05L,COLUMBUS,OH,GS,48345,41904,70956,3124,GL,X,2710
FQS,05L,COLUMBUS,OH,LOC,28929,24315,31841,17282,GL,X,2710
FQV,35,PLATTSBURGH,NY,GS,3334,6506,5927,1157,NE,3,2710
FQV,35,PLATTSBURGH,NY,LOC,7924,7660,9558,1379,NE,3,2710
FRG,14,FARMINGDALE,NY,GS,1033,1289,821,1447,EA,3,2710
FRG,14,FARMINGDALE,NY,LOC,1784,2121,1617,2722,EA,3,2710
FRL,34L,JACKSON,MS,GS,15818,15508,14214,8596,SO,3,2710
FRL,34L,JACKSON,MS,LOC,19375,20926,21240,3627,SO,3,2710
FSD,03,SIOUX FALLS,SD,GS,4308,5084,5201,6122,GL,3,2710
FSD,03,SIOUX FALLS,SD,LOC,4265,3375,3316,4953,GL,3,2710
FSM,25,FORT SMITH,AR,GS,7644,8204,7615,612,SW,3,2710
FSM,25,FORT SMITH,AR,LOC,9704,11346,11515,612,SW,3,2710
FSQ,27L,ATLANTA,GA,GS,24707,27138,25347,19388,SO,1,2710
FSQ,27L,ATLANTA,GA,LOC,7669,7697,4139,25259,SO,1,2710
FTG,26,FRONT RANGE,CO,GS,21686,19710,15905,40323,NM,3,2710
FTG,26,FRONT RANGE,CO,LOC,21774,21097,11537,51198,NM,3,2710
FTW,16,FORT WORTH,TX,GS,2502,2117,2035,3295,SW,3,2710
FTW,16,FORT WORTH,TX,LOC,1943,542,1952,1565,SW,3,2710
FTY,08,FULTON COUNTY,GA,GS,4444,4551,2835,10494,SO,3,2710
FTY,08,FULTON COUNTY,GA,LOC,1300,2135,2896,251,SO,3,2710
FUI,08,DENVER,CO,GS,16284,15954,14761,10441,NM,1,2710
FUI,08,DENVER,CO,LOC,14261,16924,19495,9579,NM,1,2710
FUL,24,FULLERTON,CA,LOC,1989,0,4453,1637,WP,3,2710
FUN,09R,ATLANTA,GA,GS,19461,21275,20306,16540,SO,1,2710
FUN,09R,ATLANTA,GA,LOC,9331,10162,9295,7684,SO,1,2710
FUQ,36,DUBUQUE,IA,GS,1173,920,630,2765,CE,3,2710
FUQ,36,DUBUQUE,IA,LOC,8503,10404,10019,2376,CE,3,2710
FVH,36,ANKENY,IA,GS,6965,7728,7358,460,CE,3,2710
FVH,36,ANKENY,IA,LOC,15479,18592,17143,799,CE,3,2710
FVJ,23L,INDIANAPOLIS,IN,GS,7691,7432,5852,12078,GL,2,2710
FVJ,23L,INDIANAPOLIS,IN,LOC,3902,4933,4557,419,GL,2,2710
FVZ,24X,CLEVELAND,OH,GS,75168,-1,-1,75168,GL,,2710
FVZ,24X,CLEVELAND,OH,LOC,75168,-1,-1,75168,GL,,2710
FWA,32,FORT WAYNE,IN,GS,4904,4123,3628,6515,GL,3,2710
FWA,32,FORT WAYNE,IN,LOC,1540,2170,1851,1614,GL,3,2710
FXE,09,FT LAUDERDALE,FL,GS,2586,768,6190,4587,SO,3,2710
FXE,09,FT LAUDERDALE,FL,LOC,7097,13583,15873,270,SO,3,2710
FYJ,10,WESTPOINT,VA,LOC,46128,-1,-1,46128,EA,X,2710
FYM,20,FAYETTEVILLE,TN,LOC,275304,-1,-1,275304,SO,X,2710
FYV,16,FAYETTEVILLE,AR,LOC,10925,12469,14395,15126,SW,3,2710
FZR,17,FRONT RANGE,CO,GS,561,0,490,1121,NM,3,2710
FZR,17,FRONT RANGE,CO,LOC,8835,13896,8248,2963,NM,3,2710
FZU,26L,CHESTERFIELD,MO,GS,3537,3814,3714,4944,CE,3,2710
FZU,26L,CHESTERFIELD,MO,LOC,7613,7007,6759,11208,CE,3,2710
FZY,33,FULTON,NY,GS,974,0,1007,534,EA,3,2710
FZY,33,FULTON,NY,LOC,5667,6843,6778,439,EA,3,2710
GAD,24,GADSDEN,AL,GS,9919,10096,7391,12850,SO,3,2710
GAD,24,GADSDEN,AL,LOC,29496,25138,42681,3125,SO,3,2710
GAO,36,GALLIANO,LA,GS,27190,28094,8057,46323,SW,X,2710
GAO,36,GALLIANO,LA,LOC,33110,31897,26504,46323,SW,X,2710
GBD,35,GREAT BEND,KS,GS,2517,2549,1680,4278,CE,3,2710
GBD,35,GREAT BEND,KS,LOC,21866,22643,20592,24940,CE,3,2710
GBG,03,GALESBURG,IL,GS,6957,7898,7485,1563,GL,3,2710
GBG,03,GALESBURG,IL,LOC,8380,8799,7966,2484,GL,3,2710
GBI,05,BUFFALO,NY,GS,8537,8512,6587,9912,EA,3,2710
GBI,05,BUFFALO,NY,LOC,1892,2018,1226,3489,EA,3,2710
GBY,12,MARSHALL,MN,GS,224496,-1,-1,224496,GL,X,2710
GBY,12,MARSHALL,MN,LOC,224496,-1,-1,224496,GL,X,2710
GCK,35,GARDEN CITY,KS,GS,3087,4295,3935,1303,CE,3,2710
GCK,35,GARDEN CITY,KS,LOC,8102,8791,6821,7012,CE,3,2710
GCN,03,GRAND CANYON,AZ,GS,3745,2957,3880,5302,WP,3,2710
GCN,03,GRAND CANYON,AZ,LOC,29966,42486,38187,5302,WP,3,2710
GCS,29,PORTLAND,ME,GS,6310,7786,5995,7273,NE,3,2710
GCS,29,PORTLAND,ME,LOC,14383,16186,15317,8243,NE,3,2710
GCY,05,GREENVILLE,TN,LOC,83208,-1,-1,83208,SO,,2710
GDI,13,FLUSHING,NY,GS,11526,11915,9715,10773,EA,1,2710
GDI,13,FLUSHING,NY,LOC,10702,11081,8610,10773,EA,1,2710
GEG,21,SPOKANE,WA,GS,9919,7007,7070,14252,NM,3,2710
GEG,21,SPOKANE,WA,LOC,14422,14772,12046,12728,NM,3,2710
GEM,12,MIAMI,FL,GS,1205,1565,1040,1134,SO,1,2710
GEM,12,MIAMI,FL,LOC,6518,7048,5784,5457,SO,1,2710
GEQ,27,MOLINE,IL,GS,5274,3191,3684,16208,GL,3,2710
GEQ,27,MOLINE,IL,LOC,4051,4392,1947,12802,GL,3,2710
GFK,35L,GRAND FORKS,ND,GS,14662,15477,10551,29532,GL,2,2710
GFK,35L,GRAND FORKS,ND,LOC,6257,6709,6123,19547,GL,2,2710
GFL,01,GLENS FALLS,NY,GS,6434,6807,6368,781,EA,3,2710
GFL,01,GLENS FALLS,NY,LOC,5016,4793,4892,781,EA,3,2710
GFN,32,GREENSBORO,NC,GS,16092,15342,21433,5412,SO,3,2710
GFN,32,GREENSBORO,NC,LOC,48312,-1,-1,48312,SO,3,2710
GFQ,18R,AUSTIN,TX,GS,11455,10332,9869,8407,SW,2,2710
GFQ,18R,AUSTIN,TX,LOC,10345,18987,24630,2549,SW,2,2710
GGG,13,LONGVIEW,TX,GS,30603,39078,35054,12800,SW,3,2710
GGG,13,LONGVIEW,TX,LOC,15336,16738,14075,6319,SW,3,2710
